;matricula;empresa;titulo_do_cargo;sindicato;valor_diario_sindicato;dias_uteis;qtde_dias_ferias;qtde_dias_licenca
36;26182;1410;ANALISTA DE COMPRAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
37;29033;1410;ANALISTA DE COMPRAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
38;31494;1410;GERENTE DE PESSOAS E PERFORMANCE;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
39;31963;1410;ANALISTA DE EDUCACAO CORPORATIVA I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
40;32975;1410;DESIGNER UX/UI II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
41;33832;1410;ASSISTENTE DE COMUNICACAO E MARKETING;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
42;35199;1410;ANALISTA DE EDUCACAO CORPORATIVA II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
43;31505;1410;COORDENADOR DE REMUNERACAO E PERFORMANCE;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
44;26859;1410;COORDENADOR DE ATRACAO E SELECAO;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
45;34686;1410;TECH RECRUITER I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
46;30609;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
47;35178;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
48;35712;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
49;35745;1410;AGILE COACH II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
50;29342;1410;BUSINESS PARTNER ESPECIALISTA;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
51;30025;1410;BUSINESS PARTNER ESPECIALISTA;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
52;33111;1410;ANALISTA DE COMUNICACAO E MARKETING I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
53;31646;1410;ANALISTA DE COMUNICACAO E MARKETING I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
54;25619;1410;COORDENADOR DE COMUNICACAO E MARKETING;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
55;32030;1410;ANALISTA CONTABIL-FISCAL III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
56;35693;1410;ANALISTA CONTABIL-FISCAL III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
57;32751;1410;ANALISTA CONTABIL-FISCAL III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
58;35485;1410;ANALISTA DE QUALIDADE DE SOFTWARE II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
59;35201;1410;ANALISTA DE QUALIDADE DE SOFTWARE III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
60;35675;1410;PRODUCT OWNER III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
61;25528;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
62;31872;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
63;35538;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
64;35561;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
65;35651;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
66;35691;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
67;35717;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
68;26846;1410;ANALISTA DE SISTEMAS E NEGOCIOS III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
69;35750;1410;ANALISTA DE QUALIDADE DE SOFTWARE I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
70;35655;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
71;32073;1410;ANALISTA DE COMUNICACAO E MARKETING II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
72;34825;1410;ANALISTA DE QUALIDADE DE SOFTWARE II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
73;35362;1410;ANALISTA DE QUALIDADE DE SOFTWARE II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
74;32099;1410;ANALISTA DE SUPORTE II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
75;35705;1410;CONSULTOR FUNCIONAL SAP III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
76;35768;1410;CONSULTOR ESPECIALISTA FUNCIONAL SAP;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
77;26051;1410;GERENTE DE SERVICOS SENIOR;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
